movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;Unnamed: 10;Unnamed: 11;rel_inc;abs_inc
i-spit-on-your-grave;10;Dorrbecker;/user/Dorrbecker;Jan 24;2011;[];1;3.0;1.0;2.0;;inf;10
the-american;10;Dorrbecker;/user/Dorrbecker;Jan 23;2011;[];0;2.0;0.0;2.0;;inf;10
machete;10;Dorrbecker;/user/Dorrbecker;Jan 23;2011;[];0;0.0;0.0;0.0;;inf;10
despicable-me;10;Dorrbecker;/user/Dorrbecker;Jan 23;2011;[];0;1.0;0.0;1.0;;inf;10
the-breakfast-club;10;Wolfmother;/user/Wolfmother;Aug 11;2010;"[ ""Very funny, interesting and awesome. I loved it, John Bender's character was great. The greatest movie based off high school in history. A movie that will always be remembered. Many references in good shows today such as simpsons, futurama, Family guy, etc."" ]";2;3.0;2.0;1.0;;inf;10
south-park-bigger-longer-uncut;10;Wolfmother;/user/Wolfmother;Aug 11;2010;[];1;2.0;1.0;1.0;;inf;10
youre-next;10;schmageggey;/user/schmageggey;Aug 30;2013;"[ ""You're Next is a brilliant horror movie.It's smart, clever and stylish. It's a breath of fresh air among all the terrible slasher movies out there nowadays. It doesn't quite revolutionize the slasher genre, but it is definitely a strong comeback. Shari Vinson was magnificent as Erin. She is definitely one of the greatest horror movie leading ladies of all time. She was smart, fierce and an all around bad-ass. The other characters are pretty shallow, spoiled and  two dimensional but when you see this movie you'll understand how it's makes up for this little flaw.  While the movie contained some jump scares, overall it wasn't scary, but that's pretty much standard for a slasher film. But what it lacks in scares it makes up tenfold in the gore department. This film is a roller coaster of carnage and it does so with finesse and panache and features one of the greatest horror movie deaths of all time. This film was getting major hype way before it premiered and by God, it delivers with intensity and ferocity that needs to be experienced way more than once."" ]";5;7.0;5.0;2.0;;inf;10
the-girl-with-the-dragon-tattoo-2011;10;schmageggey;/user/schmageggey;Mar 20;2012;"[ ""The original \""The Girl with the Dragon Tattoo\"" was an exemplary film. It had great characters and an extremely smart and suspenseful plot. Then David Fincher's version of the film came out and totally blew the original out of the water. The characters were fleshed out more, especially the exquisite Lisbeth Salander played beautifully by Rooney Mara, who totally deserved Best Actress over Meryl Streep's wooden Margaret Thatcher. To put it bluntly, Mara's Lisbeth was a total bad ass, which was extremely needed. She played the character to a T and was more convincing than Noomi Rapace's portrayal (no offense Noomi). Daniel Craig also did a great job at playing Mikael and did the character more justice. The film was long but the length was needed. It took out all the filler nonsense of the original film and added more well-needed detail and style. David Fincher redeems himself a hundred times over after giving us the utterly terrible \""Social Network\"" and re-instilled much needed faith back into his film making capabilities. It was taut, sleek, stylish, suspenseful and utterly provocative. Dark, graphic, and disturbing are age old trademarks of Fincher (see Fight Club and Seven) and he went and brought them back with a vengeance in this beautifully crafted and well-needed improvement to \""The Girl with the Dragon Tattoo\"" series and can't wait to see what wonder Fincher brings to the table with the sequels."" ]";0;0.0;0.0;0.0;;inf;10
black-swan;10;schmageggey;/user/schmageggey;Mar 30;2011;"[ ""I'm a very picky person, and I only have a very short list of mives that are my all time favorites, and not is Black Swan in that list, but it tops off that list. It is simply the best film I've ever seen. Number one Natalie Portman was phenominal in her role as Nina. It was a very hard role, and she had it doen to a T.  She totally desereved her Oscar. The real star though is Darren Aronofsky. His direction in this film was absolutley breathtaking. He is one of the best filmmakers left in Hollywood. His movies are always good, if not great. The way he directed this film was a spooky and creepy. The way the classical music was used in this film was absolutley genius. The cinematography in every scene was excellent. It created the tension for the film and never let you go until the last moment. The use of black and white as symbolism was also a very good mood and the love scene between Natalie Portman and Mila Kunis was beautiful. It wasn't gratuitous or exploitative. It was forced or thrown in. It went with the movie.  The film creeped me out, it had at the edge of my seat and at that final moment, it had me tearing up. Why didn't this movie win any more Oscars? It was absolutley perfect. This film stayed with me even after I watched it and I have a feeling that it will stay with me for a long time."" ]";0;1.0;0.0;1.0;;inf;10
drag-me-to-hell;10;Pelen23;/user/Pelen23;Jul 28;2014;"[ ""Funny and scary, well sam raimi is back to his roots. If you are looking for a typical horror ,you would be disappointed but if you like the 80s horror/ comedy then  This is definitely for you . The film reminded me of my position in a bank and I had to make similar decisions so I both disagree and sympathise Christine's situation.  Lorna Raver is absolutely great as Mrs Ganush and the fight between Christine and Mrs Ganush is priceless."" ]";2;4.0;2.0;2.0;;inf;10
the-others;10;Pelen23;/user/Pelen23;Jul 20;2014;"[ ""Fantastic, the film manages  to keep the plot tight and neat and creates  great suspense something that the six sense couldn't do so no undeveloped subplots or underwritten characters in the others.Whether The twist ending is predictable or not .who cares ? Because the characters are well written and Nicole Kidman's performance as the  quirky mother is  great that one of the most underrated performance see her facial expressions in the mirror while she is removing  the sheets in that empty room."", """", ""If the others came out before the sixth sense , I bet everyone would diss the sixth sense."" ]";7;8.0;7.0;1.0;;inf;10
copycat;10;Pelen23;/user/Pelen23;Jul 23;2014;"[ ""It was compared to  \"" Seven\"" when it was released  and been underrated for years.however it is a great example for suspense thrillers as it stays away from some cliches like jump out of seat scenes and plots like  many so-called thrillers did in the 90s  .Copycat also shines with its subplot, score and characters ."", """", ""Highly recommended"" ]";8;9.0;8.0;1.0;;inf;10
the-silence-of-the-lambs;10;Pelen23;/user/Pelen23;Jul 23;2014;"[ ""It is definitely one of the best films in the 90s and one of the rare films that  well deserved its oscars.Demne tells the story very patiently through proper character development. this a thriller and they can't go through every single details of the characters . However the film explains the psychology behind crime and the motivations of Clarice Starling very well. See Jodie Foster in the very final scene while buffalo  bill  is wearing his night vision goggles . Truly terrifying scene and Jodie's performance is just amazing,"" ]";0;0.0;0.0;0.0;;inf;10
